head,relation,tail
N0011,판결연도,year_1912
N0011,연루사건,e002
N0011,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0012,나이,28세(8월 19일생)
N0012,죄명,모살미수
N0012,주문,무죄
N0012,판결연도,year_1912
N0012,연루사건,e002
N0012,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0013,나이,21세(4월 4일생)
N0013,죄명,모살미수
N0013,주문,무죄
N0013,판결연도,year_1912
N0013,연루사건,e002
N0013,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0014,나이,20세(12월 27일생)
N0014,죄명,모살미수
N0014,주문,징역 5년
N0014,판결연도,year_1912
N0014,연루사건,e002
N0014,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0015,나이,49세(9월 20일생)
N0015,죄명,모살미수
N0015,주문,징역 5년
N0015,판결연도,year_1912
N0015,연루사건,e002
N0015,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0016,나이,21세(4월 28일생)
N0016,죄명,모살미수
N0016,주문,무죄
N0016,판결연도,year_1912
N0016,연루사건,e002
N0016,본적주소,addr_의주부
모살미수,URI,❌ 없음
의주부,URI,https://www.wikidata.org/wiki/Q701248
N0017,나이,25세(5월 26일생)
N0017,죄명,모살미수
N0017,주문,징역 5년
N0017,판결연도,year_1912
N0017,연루사건,e002
N0017,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0018,나이,56세(5월 13일생)
N0018,죄명,모살미수
N0018,주문,징역 5년
N0018,판결연도,year_1912
N0018,연루사건,e002
N0018,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0019,나이,25세(1월 27일생)
N0019,죄명,모살미수
N0019,주문,징역 6년
N0019,판결연도,year_1912
N0019,연루사건,e002
N0019,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0020,나이,19세(6월 17일생)
N0020,죄명,모살미수
N0020,주문,무죄
N0020,판결연도,year_1912
N0020,연루사건,e002
N0020,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0021,나이,29세(11월 6일생)
N0021,죄명,모살미수
N0021,주문,징역 7년
N0021,판결연도,year_1912
N0021,연루사건,e002
N0021,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0022,나이,22세(3월 19일생)
N0022,죄명,모살미수
N0022,주문,징역 6년
N0022,판결연도,year_1912
N0022,연루사건,e002
N0022,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0023,나이,41세(12월 3일생)
N0023,죄명,모살미수
N0023,주문,징역 6년
N0023,판결연도,year_1912
N0023,연루사건,e002
N0023,본적주소,addr_의주부
모살미수,URI,❌ 없음
의주부,URI,https://www.wikidata.org/wiki/Q701248
N0024,나이,31세(11월 28일생)
N0024,죄명,모살미수
N0024,주문,징역 6년
N0024,판결연도,year_1912
N0024,연루사건,e002
N0024,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0025,나이,20세(12월 26일생)
N0025,죄명,모살미수
N0025,주문,무죄
N0025,판결연도,year_1912
N0025,연루사건,e002
N0025,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0026,나이,24세(3월 6일생)
N0026,죄명,모살미수
N0026,주문,징역 5년
N0026,판결연도,year_1912
N0026,연루사건,e002
N0026,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0027,나이,28세(1월 6일생)
N0027,죄명,모살미수
N0027,주문,징역 5년
N0027,판결연도,year_1912
N0027,연루사건,e002
N0027,본적주소,addr_황해도
모살미수,URI,❌ 없음
황해도,URI,https://www.wikidata.org/wiki/Q698214
N0028,나이,21세(5월 8일생)
N0028,죄명,모살미수
N0028,주문,징역 5년
N0028,판결연도,year_1912
N0028,연루사건,e002
N0028,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0029,나이,29세(7월 4일생)
N0029,죄명,모살미수
N0029,주문,징역 5년
N0029,판결연도,year_1912
N0029,연루사건,e002
N0029,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0030,나이,42세(2월 8일생)
N0030,죄명,모살미수
N0030,주문,징역 7년
N0030,판결연도,year_1912
N0030,연루사건,e002
N0030,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0031,나이,39세(6월 6일생)
N0031,죄명,모살미수
N0031,주문,징역 6년
N0031,판결연도,year_1912
N0031,연루사건,e002
N0031,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0032,나이,35세(9월 14일생)
N0032,죄명,모살미수
N0032,주문,징역 6년
N0032,판결연도,year_1912
N0032,연루사건,e002
N0032,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0033,나이,29세(2월 21일생)
N0033,죄명,모살미수
N0033,주문,징역 5년
N0033,판결연도,year_1912
N0033,연루사건,e002
N0033,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0034,나이,48세(8월 8일생)
N0034,죄명,모살미수
N0034,주문,징역 5년
N0034,판결연도,year_1912
N0034,연루사건,e002
N0034,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0035,나이,31세(12월 8일생)
N0035,죄명,모살미수
N0035,주문,징역 6년
N0035,판결연도,year_1912
N0035,연루사건,e002
N0035,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0036,나이,20세(9월 13일생)
N0036,죄명,모살미수
N0036,주문,무죄
N0036,판결연도,year_1912
N0036,연루사건,e002
N0036,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0037,나이,34세(11월 23일생)
N0037,죄명,모살미수
N0037,주문,징역 6년
N0037,판결연도,year_1912
N0037,연루사건,e002
N0037,본적주소,addr_의주부
모살미수,URI,❌ 없음
의주부,URI,https://www.wikidata.org/wiki/Q701248
N0038,나이,29세(7월 6일생)
N0038,죄명,모살미수
N0038,주문,징역 5년
N0038,판결연도,year_1912
N0038,연루사건,e002
N0038,본적주소,addr_의주부
모살미수,URI,❌ 없음
의주부,URI,https://www.wikidata.org/wiki/Q701248
N0039,나이,31세(11월 14일생)
N0039,죄명,모살미수
N0039,주문,징역 7년
N0039,판결연도,year_1912
N0039,연루사건,e002
N0039,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0040,나이,31세(4월 13일생)
N0040,죄명,모살미수
N0040,주문,징역 5년
N0040,판결연도,year_1912
N0040,연루사건,e002
N0040,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0041,나이,29세(8월 20일생)
N0041,죄명,모살미수
N0041,주문,징역 7년
N0041,판결연도,year_1912
N0041,연루사건,e002
N0041,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0042,나이,20세(11월 11일생)
N0042,죄명,모살미수
N0042,주문,무죄
N0042,판결연도,year_1912
N0042,연루사건,e002
N0042,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0043,나이,25세(12월 30일생)
N0043,죄명,모살미수
N0043,주문,징역 5년
N0043,판결연도,year_1912
N0043,연루사건,e002
N0043,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0044,나이,33세(7월 18일)
N0044,죄명,모살미수
N0044,주문,징역 7년
N0044,판결연도,year_1912
N0044,연루사건,e002
N0044,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0045,나이,38세(5월 10일생)
N0045,죄명,모살미수
N0045,주문,징역 6년
N0045,판결연도,year_1912
N0045,연루사건,e002
N0045,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0046,나이,33세(2월 25일생)
N0046,죄명,모살미수
N0046,주문,징역 6년
N0046,판결연도,year_1912
N0046,연루사건,e002
N0046,본적주소,addr_황해도
모살미수,URI,❌ 없음
황해도,URI,https://www.wikidata.org/wiki/Q698214
N0047,나이,30세(3월 7일생)
N0047,죄명,모살미수
N0047,주문,징역 6년
N0047,판결연도,year_1912
N0047,연루사건,e002
N0047,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0048,나이,26세(11월 30일생)
N0048,죄명,모살미수
N0048,주문,징역 5년
N0048,판결연도,year_1912
N0048,연루사건,e002
N0048,본적주소,addr_의주부
모살미수,URI,❌ 없음
의주부,URI,https://www.wikidata.org/wiki/Q701248
N0049,나이,24세(2월 5일생)
N0049,죄명,모살미수
N0049,주문,징역 5년
N0049,판결연도,year_1912
N0049,연루사건,e002
N0049,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0050,나이,35세(7월 2일생)
N0050,죄명,모살미수
N0050,주문,징역 5년
N0050,판결연도,year_1912
N0050,연루사건,e002
N0050,본적주소,addr_평남
모살미수,URI,❌ 없음
평남,URI,https://www.wikidata.org/wiki/Q109380
N0051,나이,46세(7월 21일생)
N0051,죄명,모살미수
N0051,주문,징역 6년
N0051,판결연도,year_1912
N0051,연루사건,e002
N0051,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0052,나이,38세(9월 23일생)
N0052,죄명,모살미수
N0052,주문,징역 10년
N0052,판결연도,year_1912
N0052,연루사건,e002
N0052,본적주소,addr_평남
모살미수,URI,❌ 없음
평남,URI,https://www.wikidata.org/wiki/Q109380
N0053,나이,42세(4월 2일생)
N0053,죄명,모살미수
N0053,주문,징역  10년
N0053,판결연도,year_1912
N0053,연루사건,e002
N0053,본적주소,addr_경성
모살미수,URI,❌ 없음
경성,URI,https://www.wikidata.org/wiki/Q483984
N0054,나이,43세(3월 10일생)
N0054,죄명,모살미수
N0054,주문,징역 6년
N0054,판결연도,year_1912
N0054,연루사건,e002
N0054,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0055,나이,34세
N0055,죄명,모살미수
N0055,주문,징역 7년
N0055,판결연도,year_1912
N0055,연루사건,e002
N0055,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0056,나이,28세(11월 13일생)
N0056,죄명,모살미수
N0056,주문,징역 5년
N0056,판결연도,year_1912
N0056,연루사건,e002
N0056,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0057,나이,28세(2월 25일생)
N0057,죄명,모살미수
N0057,주문,징역 5년
N0057,판결연도,year_1912
N0057,연루사건,e002
N0057,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0058,나이,31세(3월 1일생)
N0058,죄명,모살미수
N0058,주문,징역 5년
N0058,판결연도,year_1912
N0058,연루사건,e002
N0058,본적주소,addr_황해도
모살미수,URI,❌ 없음
황해도,URI,https://www.wikidata.org/wiki/Q698214
N0059,나이,28세(7월 10일생)
N0059,죄명,모살미수
N0059,주문,징역 6년
N0059,판결연도,year_1912
N0059,연루사건,e002
N0059,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0060,나이,39세(1월 6일생)
N0060,죄명,모살미수
N0060,주문,징역 7년
N0060,판결연도,year_1912
N0060,연루사건,e002
N0060,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0061,나이,28세(2월 26일생)
N0061,죄명,모살미수
N0061,주문,징역 5년
N0061,판결연도,year_1912
N0061,연루사건,e002
N0061,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0062,나이,34세(3월 26일)
N0062,죄명,모살미수
N0062,주문,징역 10년
N0062,판결연도,year_1912
N0062,연루사건,e002
N0062,본적주소,addr_경성
모살미수,URI,❌ 없음
경성,URI,https://www.wikidata.org/wiki/Q483984
N0063,나이,28세(7월 6일생)
N0063,죄명,모살미수
N0063,주문,징역 6년
N0063,판결연도,year_1912
N0063,연루사건,e002
N0063,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0064,나이,37세(12월 18일생)
N0064,죄명,모살미수
N0064,주문,징역 6년
N0064,판결연도,year_1912
N0064,연루사건,e002
N0064,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0065,나이,26세(3월 3일생)
N0065,죄명,모살미수
N0065,주문,징역 5년
N0065,판결연도,year_1912
N0065,연루사건,e002
N0065,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0066,나이,47세(12월 22일생)
N0066,죄명,모살미수
N0066,주문,징역 10년
N0066,판결연도,year_1912
N0066,연루사건,e002
N0066,본적주소,addr_경기도
모살미수,URI,❌ 없음
경기도,URI,https://www.wikidata.org/wiki/Q20937
N0067,나이,19세(1월 8일생)
N0067,죄명,모살미수
N0067,주문,무죄
N0067,판결연도,year_1912
N0067,연루사건,e002
N0067,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0068,나이,28세(5월 18일생)
N0068,죄명,모살미수
N0068,주문,징역 6년
N0068,판결연도,year_1912
N0068,연루사건,e002
N0068,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0069,나이,37세(8월 18일생)
N0069,죄명,모살미수
N0069,주문,징역 7년
N0069,판결연도,year_1912
N0069,연루사건,e002
N0069,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0070,나이,36세(10월 25일생)
N0070,죄명,모살미수
N0070,주문,징역 6년
N0070,판결연도,year_1912
N0070,연루사건,e002
N0070,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0071,나이,22세(7월 6일생)
N0071,죄명,모살미수
N0071,주문,징역 5년
N0071,판결연도,year_1912
N0071,연루사건,e002
N0071,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0072,나이,40세(8월 2일생)
N0072,죄명,모살미수
N0072,주문,징역 6년
N0072,판결연도,year_1912
N0072,연루사건,e002
N0072,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0073,나이,28세(10월 4일생)
N0073,죄명,모살미수
N0073,주문,징역 5년
N0073,판결연도,year_1912
N0073,연루사건,e002
N0073,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0074,나이,38세(11월 28일생)
N0074,죄명,모살미수
N0074,주문,징역 6년
N0074,판결연도,year_1912
N0074,연루사건,e002
N0074,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0075,나이,19세(2월 2일생)
N0075,죄명,모살미수
N0075,주문,무죄
N0075,판결연도,year_1912
N0075,연루사건,e002
N0075,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0076,나이,26세(11월 10일생)
N0076,죄명,모살미수
N0076,주문,징역 6년
N0076,판결연도,year_1912
N0076,연루사건,e002
N0076,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0077,나이,41세(4월 18일생)
N0077,죄명,모살미수
N0077,주문,징역 7년
N0077,판결연도,year_1912
N0077,연루사건,e002
N0077,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0078,나이,49세(2월 28일생)
N0078,죄명,모살미수
N0078,주문,징역 10년
N0078,판결연도,year_1912
N0078,연루사건,e002
N0078,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0079,나이,19세(9월 1일생)
N0079,죄명,모살미수
N0079,주문,무죄
N0079,판결연도,year_1912
N0079,연루사건,e002
N0079,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0080,나이,21세(2월 23일생)
N0080,죄명,모살미수
N0080,주문,징역 5년
N0080,판결연도,year_1912
N0080,연루사건,e002
N0080,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0081,나이,20세(3월 8일생)
N0081,죄명,모살미수
N0081,주문,무죄
N0081,판결연도,year_1912
N0081,연루사건,e002
N0081,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0082,나이,22세(9월 22일생)
N0082,죄명,모살미수
N0082,주문,징역 5년
N0082,판결연도,year_1912
N0082,연루사건,e002
N0082,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0083,나이,23세(7월 1일생)
N0083,죄명,모살미수
N0083,주문,징역 5년
N0083,판결연도,year_1912
N0083,연루사건,e002
N0083,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0084,나이,55세(7월 2일생)
N0084,죄명,모살미수
N0084,주문,무죄
N0084,판결연도,year_1912
N0084,연루사건,e002
N0084,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0085,나이,25세(8월 26일생)
N0085,죄명,모살미수
N0085,주문,징역 5년
N0085,판결연도,year_1912
N0085,연루사건,e003
N0085,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0086,나이,52세(3월 5일생)
N0086,죄명,모살미수
N0086,주문,징역 6년
N0086,판결연도,year_1912
N0086,연루사건,e002
N0086,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0087,나이,19세(12월 11일생)
N0087,죄명,모살미수
N0087,주문,무죄
N0087,판결연도,year_1912
N0087,연루사건,e002
N0087,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0088,나이,34세
N0088,죄명,모살미수
N0088,주문,징역 6년
N0088,판결연도,year_1912
N0088,연루사건,e002
N0088,본적주소,addr_평안남도
모살미수,URI,❌ 없음
평안남도,URI,https://www.wikidata.org/wiki/Q109380
N0089,나이,29세(5월 25일생)
N0089,죄명,모살미수
N0089,주문,징역 6년
N0089,판결연도,year_1912
N0089,연루사건,e002
N0089,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0090,나이,28세(4월 26일생)
N0090,죄명,모살미수
N0090,주문,징역 7년(공소-무죄판결)
N0090,판결연도,year_1912
N0090,연루사건,e002
N0090,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0091,나이,22세(11월 16일생)
N0091,죄명,모살미수
N0091,주문,징역 5년
N0091,판결연도,year_1912
N0091,연루사건,e002
N0091,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0092,나이,32세(9월 26일생)
N0092,죄명,모살미수
N0092,주문,징역 10년
N0092,판결연도,year_1912
N0092,연루사건,e002
N0092,본적주소,addr_경성
모살미수,URI,❌ 없음
경성,URI,https://www.wikidata.org/wiki/Q483984
N0093,나이,45세(5월 20일생)
N0093,죄명,모살미수
N0093,주문,징역 6년
N0093,판결연도,year_1912
N0093,연루사건,e002
N0093,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0094,나이,32세(7월 23일생)
N0094,죄명,모살미수
N0094,주문,징역 6년
N0094,판결연도,year_1912
N0094,연루사건,e002
N0094,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0095,나이,32세(3월 5일생)
N0095,죄명,모살미수
N0095,주문,징역 7년
N0095,판결연도,year_1912
N0095,연루사건,e002
N0095,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0096,나이,24세(7월 22일생)
N0096,죄명,모살미수
N0096,주문,징역 5년
N0096,판결연도,year_1912
N0096,연루사건,e002
N0096,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0097,나이,32세(4월 20일생)
N0097,죄명,모살미수
N0097,주문,징역 6년
N0097,판결연도,year_1912
N0097,연루사건,e002
N0097,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0098,나이,50세(7월 21일생)
N0098,죄명,모살미수
N0098,주문,징역 6년
N0098,판결연도,year_1912
N0098,연루사건,e002
N0098,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0099,나이,21세(1월 20일생)
N0099,죄명,모살미수
N0099,주문,징역 5년
N0099,판결연도,year_1912
N0099,연루사건,e002
N0099,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0100,나이,44세(3월 29일생)
N0100,죄명,모살미수
N0100,주문,징역 6년
N0100,판결연도,year_1912
N0100,연루사건,e002
N0100,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0101,나이,30세(7월 7일생)
N0101,죄명,모살미수
N0101,주문,징역 6년
N0101,판결연도,year_1912
N0101,연루사건,e002
N0101,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0102,나이,37세(2월 4일생)
N0102,죄명,모살미수
N0102,주문,징역 6년
N0102,판결연도,year_1912
N0102,연루사건,e002
N0102,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0103,나이,24세(5월 13일생)
N0103,죄명,모살미수
N0103,주문,징역 6년
N0103,판결연도,year_1912
N0103,연루사건,e002
N0103,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0104,나이,25세(1월 28일생)
N0104,죄명,모살미수
N0104,주문,징역 5년
N0104,판결연도,year_1912
N0104,연루사건,e002
N0104,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0105,나이,32세(7월 27일생)
N0105,죄명,모살미수
N0105,주문,징역 7년
N0105,판결연도,year_1912
N0105,연루사건,e002
N0105,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0106,나이,23세(4월 7일생)
N0106,죄명,모살미수
N0106,주문,징역 5년
N0106,판결연도,year_1912
N0106,연루사건,e002
N0106,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0107,나이,30세(11월 11일생)
N0107,죄명,모살미수
N0107,주문,징역 7년
N0107,판결연도,year_1912
N0107,연루사건,e002
N0107,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0108,나이,21세(12월 27일생)
N0108,죄명,모살미수
N0108,주문,무죄
N0108,판결연도,year_1912
N0108,연루사건,e002
N0108,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0109,나이,48세(5월 11일생)
N0109,죄명,모살미수
N0109,주문,징역 5년
N0109,판결연도,year_1912
N0109,연루사건,e002
N0109,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0110,나이,35세(2월 9일생)
N0110,죄명,모살미수
N0110,주문,징역 7년
N0110,판결연도,year_1912
N0110,연루사건,e002
N0110,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0111,나이,35세(2월 17일생)
